Correlativo,Remitente,Departamento de Recepción,Departamento de Destino,Descripción,Peso (kg),Estado,Clasificación
00001,Sofía Méndez,Chimaltenango,Escuintla,Comida,7.5,R,Bolsa
00002,Sofía Rodríguez,Izabal,Chimaltenango,Artículos de decoración,2.8,E,Bolsa
00003,Javier Méndez,Sacatepéquez,Guatemala,Comida,8.4,T,Sobre
00004,María Castillo,Alta Verapaz,Suchitepéquez,Herramientas,7.9,R,Paquete Mediano
00005,Andrés Ruiz,Suchitepéquez,Alta Verapaz,Herramientas,3.7,E,Bolsa
00006,Diego Ruiz,Guatemala,Chimaltenango,Comida,6.2,E,Sobre
00007,Luisa Rodríguez,Huehuetenango,Peten,Comida,2.5,R,Bolsa
00008,Carlos Hernández,Chimaltenango,Quetzaltenango,Herramientas,1.2,E,Paquete Mediano
00009,Javier Méndez,Suchitepéquez,Quetzaltenango,Ropa,1.7,R,Bolsa
00010,Andrés Hernández,Quetzaltenango,Sacatepéquez,Artículos de decoración,7.9,R,Paquete Mediano
00011,Ana Morales,Izabal,Suchitepéquez,Electrónicos,0.6,T,Paquete Mediano
00012,Sofía García,Suchitepéquez,Sacatepéquez,Juguetes,2.9,T,Sobre
00013,Javier Méndez,Sacatepéquez,Guatemala,Ropa,7.6,R,Bolsa
00014,Javier García,Chimaltenango,Suchitepéquez,Herramientas,7.5,R,Paquete Grande
00015,Luisa Méndez,Chimaltenango,Guatemala,Herramientas,0.7,R,Bolsa
00016,Javier López,Suchitepéquez,Peten,Electrónicos,8.1,E,Sobre
00017,María Morales,Izabal,Escuintla,Ropa,9.5,E,Sobre
00018,Ana Ramírez,Guatemala,Peten,Electrónicos,0.2,T,Bolsa
00019,Diego López,Izabal,Huehuetenango,Ropa,1.5,R,Sobre
00020,María Rodríguez,Alta Verapaz,Escuintla,Electrodomésticos,9.1,E,Sobre
00021,Carlos Morales,Izabal,Izabal,Juguetes,9.9,R,Paquete Mediano
00022,Carlos López,Chimaltenango,Guatemala,Electrónicos,5.0,E,Sobre
00023,Carlos Ruiz,Sacatepéquez,Alta Verapaz,Electrónicos,5.8,T,Bolsa
00024,Carolina García,Alta Verapaz,Huehuetenango,Comida,4.5,T,Sobre
00025,Diego Castillo,Guatemala,Escuintla,Comida,1.2,E,Paquete Mediano
00026,María Ruiz,Escuintla,Izabal,Artículos de decoración,5.7,R,Sobre
00027,María García,Guatemala,Sacatepéquez,Electrónicos,7.6,E,Paquete Grande
00028,Luisa Hernández,Alta Verapaz,Izabal,Herramientas,1.4,E,Bolsa
00029,Sofía González,Quetzaltenango,Chimaltenango,Ropa,3.8,R,Bolsa
00030,Ana Morales,Quetzaltenango,Alta Verapaz,Libros,4.2,R,Bolsa
00031,Sofía Ruiz,Sacatepéquez,Suchitepéquez,Electrónicos,1.0,T,Sobre
00032,Javier Castillo,Guatemala,Quetzaltenango,Herramientas,0.5,E,Bolsa
00033,Javier Castillo,Izabal,Quetzaltenango,Juguetes,6.0,T,Sobre
00034,Sofía Méndez,Peten,Chimaltenango,Herramientas,6.7,E,Sobre
00035,María Morales,Alta Verapaz,Izabal,Juguetes,1.7,R,Paquete Mediano
00036,Javier Rodríguez,Peten,Peten,Libros,3.1,R,Paquete Grande
00037,Luisa Méndez,Peten,Quetzaltenango,Juguetes,6.8,R,Sobre
00038,Carlos Méndez,Quetzaltenango,Huehuetenango,Ropa,1.8,R,Bolsa
